School name,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Latitude,Longitude
St Joseph's Catholic Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE16 2TY,51.495,-0.05327
"Saint Joseph's Catholic Primary School, the Borough",London,London,Southwark,Bermondsey and Old Southwark,SE1 1NJ,51.50275,-0.0932
St Jude's Church of England Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE1 6HA,51.49685,-0.10536
St Mary Magdalene Church of England Primary School,London,London,Southwark,Camberwell and Peckham,SE15 3RA,51.46854,-0.06291
Peter Hills with St Mary's and St Paul's CofE Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE16 5ED,51.50619,-0.04248
St Peter's Church of England Primary School,London,London,Southwark,Camberwell and Peckham,SE17 2HH,51.48616,-0.0933
The Cathedral School of St Saviour and St Mary Overy,London,London,Southwark,Bermondsey and Old Southwark,SE1 1HG,51.5029,-0.09402
St John's Roman Catholic Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE16 6SD,51.50029,-0.0415
St Saviour's and St Olave's Church of England School,London,London,Southwark,Bermondsey and Old Southwark,SE1 4AN,51.49466,-0.08759
St Francesca Cabrini Primary School,London,London,Southwark,Camberwell and Peckham,SE23 3LE,51.44953,-0.05211
St Anthony's Catholic Primary School,London,London,Southwark,Dulwich and West Norwood,SE22 0LA,51.4497,-0.0721
St Joseph's Catholic Junior School,London,London,Southwark,Camberwell and Peckham,SE5 0TS,51.4795,-0.09971
St Joseph's Catholic Infants School,London,London,Southwark,Camberwell and Peckham,SE5 0TS,51.4795,-0.09971
Friars Primary Foundation School,London,London,Southwark,Bermondsey and Old Southwark,SE1 0RF,51.50099,-0.10273
The St Thomas the Apostle College,London,London,Southwark,Camberwell and Peckham,SE15 2EB,51.47123,-0.05658
Notre Dame Roman Catholic Girls' School,London,London,Southwark,Bermondsey and Old Southwark,SE1 6EX,51.49698,-0.10613
Highshore School,London,London,Southwark,Camberwell and Peckham,SE5 0TW,51.47814,-0.10133
Evelina Hospital School,London,London,Southwark,Vauxhall,SE1 7EH,51.49795,-0.1189
Bethlem and Maudsley Hospital School,London,London,Southwark,Beckenham,BR3 3BX,51.37778,-0.02922
Haymerle School,London,London,Southwark,Camberwell and Peckham,SE15 6SY,51.48047,-0.06923
Beormund Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE1 3PS,51.50074,-0.08847
Tuke School,London,London,Southwark,Camberwell and Peckham,SE15 6ER,51.4805,-0.07718
Cherry Garden School,London,London,Southwark,Camberwell and Peckham,SE15 5BB,51.47184,-0.07256
Childrens House Nursery School,London,London,Tower Hamlets,Poplar and Limehouse,E3 3HL,51.52665,-0.01618
Columbia Market Nursery School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 7PG,51.5285,-0.07413
Old Church Nursery School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 0RJ,51.51576,-0.04491
Rachel Keeling Nursery School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 0PS,51.52762,-0.04781
Alice Model Nursery School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 4NQ,51.52138,-0.04632
Harry Roberts Nursery School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 4PZ,51.52095,-0.03777
London East Alternative Provision,London,London,Tower Hamlets,Bethnal Green and Bow,E1 4EE,51.52349,-0.04692
Ben Jonson Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 4PZ,51.52095,-0.03777
Bonner Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 0NF,51.52973,-0.04832
Old Palace Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E3 3BT,51.52639,-0.0124
Canon Barnett Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 7RQ,51.51584,-0.07098
Cayley Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E14 7NG,51.51615,-0.03839
Blue Gate Fields Junior School,London,London,Tower Hamlets,Poplar and Limehouse,E1 0EH,51.51055,-0.05431
Chisenhale Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E3 5QY,51.53326,-0.0385
Columbia Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 7RG,51.52933,-0.06918
Cubitt Town Junior School,London,London,Tower Hamlets,Poplar and Limehouse,E14 3NE,51.49532,-0.01188
Cyril Jackson Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E14 8HH,51.51118,-0.02975
Globe Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 0JH,51.52939,-0.05129
Hague Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 0BP,51.52465,-0.0591
Harbinger Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E14 3QP,51.4893,-0.02011
John Scurr Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 4AX,51.52323,-0.051
Lawdale Junior School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 6LS,51.52844,-0.06283
Elizabeth Selby Infants' School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 6PP,51.52866,-0.06291
Marion Richardson Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 0QF,51.51442,-0.04622
Marner Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E3 3LL,51.52292,-0.01237
Mayflower Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E14 6DU,51.51158,-0.02031
Mowlem Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 9HE,51.53381,-0.05528
Blue Gate Fields Infants' School,London,London,Tower Hamlets,Poplar and Limehouse,E1 0EH,51.51055,-0.05431
Olga Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E3 5DN,51.53072,-0.03667
Redlands Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 3AQ,51.51942,-0.05106
Manorfield Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E14 6QD,51.51825,-0.01326
Stewart Headlam Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 5RE,51.52326,-0.05978
Virginia Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 7NQ,51.52699,-0.07434
Wellington Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E3 4NE,51.52591,-0.02484
Woolmore Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E14 0EW,51.51068,-0.00803
Thomas Buxton Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 5AR,51.52174,-0.06486
Seven Mills Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E14 8LY,51.49837,-0.02361
Cubitt Town Infants' School,London,London,Tower Hamlets,Poplar and Limehouse,E14 3NE,51.49532,-0.01188
Osmani Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 5AD,51.52079,-0.06483
Shapla Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E1 8HY,51.51015,-0.06593
Hermitage Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E1W 2PT,51.50502,-0.06485
Bangabandhu Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 0LB,51.52572,-0.05143
Halley Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E14 7SS,51.5177,-0.03603
Bigland Green Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E1 2ND,51.51267,-0.05857
Kobi Nazrul Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 1JP,51.5161,-0.06426
Smithy Street Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 3BW,51.51877,-0.05237
William Davis Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 6ET,51.52449,-0.0667
Christ Church CofE School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 6PU,51.5183,-0.07152
Guardian Angels Catholic Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E3 4RB,51.52462,-0.03694
Stepney Greencoat Church of England Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E14 7TF,51.51393,-0.03178
St Agnes RC Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E3 3ER,51.52734,-0.01868
St Anne's Catholic Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 5AW,51.52112,-0.06614
St Edmund's Catholic School,London,London,Tower Hamlets,Poplar and Limehouse,E14 3RS,51.49216,-0.02422
St John's Church of England Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 9LR,51.53002,-0.05437
St Luke's Church of England Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E14 3EB,51.48959,-0.00551
St Matthias Church of England Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 6DY,51.52398,-0.07046
St Paul with St Luke CofE Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E3 4LA,51.51796,-0.02919
St Paul's Whitechapel Church of England Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E1 8HY,51.51015,-0.06593
St Peter's London Docks CofE Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E1W 3QT,51.50763,-0.05523
St Saviour's Church of England Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E14 6BB,51.51626,-0.01649
English Martyrs Roman Catholic Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 8DJ,51.51276,-0.0709
Bow School,London,London,Tower Hamlets,Poplar and Limehouse,E3 3QW,51.52339,-0.00949
Langdon Park Community School,London,London,Tower Hamlets,Poplar and Limehouse,E14 0RZ,51.51478,-0.01214
Morpeth School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 0PX,51.52678,-0.04849
Oaklands School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 6PR,51.52923,-0.06172
Swanlea School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 5DJ,51.52074,-0.06007
George Green's School,London,London,Tower Hamlets,Poplar and Limehouse,E14 3DW,51.48812,-0.00763
Central Foundation Girls' School,London,London,Tower Hamlets,Bethnal Green and Bow,E3 2AE,51.52681,-0.02832
Sir John Cass Foundation and Redcoat Church of England Secondary School,London,London,Tower Hamlets,Bethnal Green and Bow,E1 0RH,51.51625,-0.04421
Bishop Challoner Girls' School,London,London,Tower Hamlets,Poplar and Limehouse,E1 0LB,51.51356,-0.04974
Raine's Foundation School,London,London,Tower Hamlets,Bethnal Green and Bow,E2 9LY,51.53126,-0.05178
Bowden House School,London,London,Tower Hamlets,Lewes,BN25 2JB,50.78699,0.10645
Phoenix School,London,London,Tower Hamlets,Bethnal Green and Bow,E3 2AD,51.52709,-0.02663
Beatrice Tate School,London,London,Tower Hamlets,Poplar and Limehouse,E3 4PX,51.52375,-0.03044
Balham Nursery School & Children's Centre Services,London,London,Wandsworth,Tooting,SW12 8JL,51.44631,-0.15437
Eastwood Nursery School,London,London,Wandsworth,Putney,SW15 4EU,51.45188,-0.24524
Somerset Nursery School and Children's Centre,London,London,Wandsworth,Battersea,SW11 3ND,51.47569,-0.17526
Francis Barber Pupil Referral Unit,London,London,Wandsworth,Tooting,SW17 8HE,51.42694,-0.16196
Alderbrook Primary School,London,London,Wandsworth,Battersea,SW12 8PP,51.44852,-0.1489
Allfarthing Primary School,London,London,Wandsworth,Battersea,SW18 2LR,51.45421,-0.18619
Beatrix Potter Primary School,London,London,Wandsworth,Tooting,SW18 3ER,51.44396,-0.18229
Brandlehow Primary School,London,London,Wandsworth,Putney,SW15 2ED,51.46137,-0.20741
Broadwater Primary School,London,London,Wandsworth,Tooting,SW17 0DZ,51.43086,-0.17361
Earlsfield Primary School,London,London,Wandsworth,Tooting,SW18 3QQ,51.44143,-0.18594
Falconbrook Primary School,London,London,Wandsworth,Battersea,SW11 2LX,51.46812,-0.17405
Fircroft Primary School,London,London,Wandsworth,Tooting,SW17 7PP,51.43688,-0.16426
Furzedown Primary School,London,London,Wandsworth,Tooting,SW17 9TJ,51.42194,-0.15313
Honeywell Junior School,London,London,Wandsworth,Battersea,SW11 6EF,51.45473,-0.1619
Honeywell Infant School,London,London,Wandsworth,Battersea,SW11 6EF,51.45473,-0.1619
Hotham Primary School,London,London,Wandsworth,Putney,SW15 1PN,51.46423,-0.22119
John Burns Primary School,London,London,Wandsworth,Battersea,SW11 5QR,51.4695,-0.15278
Penwortham Primary School,London,London,Wandsworth,Tooting,SW16 6RJ,51.42239,-0.14587
Ravenstone Primary School,London,London,Wandsworth,Tooting,SW12 9SS,51.44168,-0.15267
Riversdale Primary School,London,London,Wandsworth,Putney,SW18 5JP,51.4466,-0.1991
Sellincourt Primary School,London,London,Wandsworth,Tooting,SW17 9SA,51.42317,-0.16755
Shaftesbury Park Primary School,London,London,Wandsworth,Battersea,SW11 5UW,51.46876,-0.15663
Smallwood Primary School and Language Unit,London,London,Wandsworth,Tooting,SW17 0TW,51.43121,-0.17809
Swaffield Primary School,London,London,Wandsworth,Tooting,SW18 2SA,51.45152,-0.18605
West Hill Primary School,London,London,Wandsworth,Putney,SW18 5ST,51.45557,-0.19903
Sheringdale Primary School,London,London,Wandsworth,Putney,SW18 5TR,51.44691,-0.20366
Southmead Primary School,London,London,Wandsworth,Putney,SW19 6QT,51.44528,-0.2161
Granard Primary School,London,London,Wandsworth,Putney,SW15 6XA,51.45565,-0.23291
Heathmere Primary School,London,London,Wandsworth,Putney,SW15 4LJ,51.44467,-0.24138
Ronald Ross Primary School,London,London,Wandsworth,Putney,SW19 6RY,51.4483,-0.21567
Albemarle Primary School,London,London,Wandsworth,Putney,SW19 6JP,51.44202,-0.2138
"All Saints' CofE Primary School, Putney",London,London,Wandsworth,Putney,SW15 1HL,51.46788,-0.22774
Christ Church CofE Primary School,London,London,Wandsworth,Battersea,SW11 2TH,51.46707,-0.16691
Holy Ghost Catholic Primary School,London,London,Wandsworth,Tooting,SW12 8QJ,51.44788,-0.15634
Our Lady of Victories Catholic Primary School,London,London,Wandsworth,Putney,SW15 1AW,51.4638,-0.2232
Roehampton CofE Primary School,London,London,Wandsworth,Putney,SW15 4AA,51.44826,-0.23753
St Anne's CofE Primary School,London,London,Wandsworth,Battersea,SW18 2RU,51.45621,-0.18915
St Boniface RC Primary School,London,London,Wandsworth,Tooting,SW17 8PP,51.42735,-0.1646
St Faith's CofE Primary School,London,London,Wandsworth,Battersea,SW18 1AE,51.45941,-0.18648
St George's CofE Primary School,London,London,Wandsworth,Battersea,SW8 4JS,51.47717,-0.13933
St Joseph's RC Primary School,London,London,Wandsworth,Battersea,SW15 2QD,51.45919,-0.20046
St Mary's CofE Primary School,London,London,Wandsworth,Putney,SW15 1BA,51.46643,-0.22203
Trinity St Mary's CofE Primary School,London,London,Wandsworth,Tooting,SW12 8DR,51.44256,-0.1553
St Mary's RC Voluntary Aided Primary School,London,London,Wandsworth,Battersea,SW8 4BE,51.47622,-0.14537
St Michael's CofE Primary School,London,London,Wandsworth,Putney,SW18 5SQ,51.45023,-0.20359
"Sacred Heart Catholic Primary School, Roehampton",London,London,Wandsworth,Putney,SW15 5NX,51.45761,-0.24196
Our Lady Queen of Heaven RC School,London,London,Wandsworth,Putney,SW19 6AD,51.44797,-0.22036
St Anselm's Catholic Primary School,London,London,Wandsworth,Tooting,SW17 8BS,51.43568,-0.15756
Ernest Bevin College,London,London,Wandsworth,Tooting,SW17 7DF,51.43759,-0.168
Hillbrook School,London,London,Wandsworth,Tooting,SW17 8SG,51.43246,-0.16092
Oak Lodge School,London,London,Wandsworth,Tooting,SW12 8NA,51.44874,-0.15804
Bradstow School,London,London,Wandsworth,South Thanet,CT10 1BY,51.35282,1.4373
Greenmead School,London,London,Wandsworth,Putney,SW19 6RY,51.4483,-0.21567
Paddock School,London,London,Wandsworth,Putney,SW15 5RT,51.46378,-0.2499
Garratt Park School,London,London,Wandsworth,Tooting,SW18 3TB,51.43754,-0.18488
Tachbrook Nursery School,London,London,Westminster,Cities of London and Westminster,SW1V 3RT,51.48659,-0.13259
Dorothy Gardner Centre,London,London,Westminster,Westminster North,W9 3JY,51.52889,-0.20179
Mary Paterson Nursery School,London,London,Westminster,Westminster North,W9 3DS,51.528,-0.20227
Barrow Hill Junior School,London,London,Westminster,Westminster North,NW8 7AL,51.53279,-0.1691
Edward Wilson Primary School,London,London,Westminster,Westminster North,W2 5TL,51.52168,-0.18916
Essendine Primary School,London,London,Westminster,Westminster North,W9 2LR,51.52805,-0.19505
George Eliot Primary School,London,London,Westminster,Westminster North,NW8 0NH,51.53841,-0.17724
Hallfield Primary School,London,London,Westminster,Westminster North,W2 6JJ,51.51493,-0.18643
Robinsfield Infant School,London,London,Westminster,Westminster North,NW8 6PX,51.53518,-0.17014
Queen's Park Primary School,London,London,Westminster,Westminster North,W10 4DQ,51.52746,-0.20934
All Souls CofE Primary School,London,London,Westminster,Cities of London and Westminster,W1W 7JJ,51.51984,-0.13863
Burdett-Coutts and Townshend Foundation CofE Primary School,London,London,Westminster,Cities of London and Westminster,SW1P 2QQ,51.49511,-0.13502
Hampden Gurney CofE Primary School,London,London,Westminster,Cities of London and Westminster,W1H 5HA,51.51678,-0.16407
Our Lady of Dolours RC Primary School,London,London,Westminster,Westminster North,W2 5SR,51.52148,-0.1913
St Augustine's CofE Primary School,London,London,Westminster,Westminster North,NW6 5XA,51.53453,-0.19158
St Barnabas' CofE Primary School,London,London,Westminster,Cities of London and Westminster,SW1W 8PF,51.49058,-0.15166
St Clement Danes CofE Primary School,London,London,Westminster,Cities of London and Westminster,WC2B 5SU,51.51366,-0.11975
St Edward's Catholic Primary School,London,London,Westminster,Cities of London and Westminster,NW1 6LH,51.52333,-0.1657
St Gabriel's CofE Primary School,London,London,Westminster,Cities of London and Westminster,SW1V 3AG,51.48618,-0.14177
St George's Hanover Square CofE Primary School,London,London,Westminster,Cities of London and Westminster,W1K 2XH,51.50882,-0.15011
Soho Parish CofE Primary School,London,London,Westminster,Cities of London and Westminster,W1D 7LF,51.51174,-0.13439
St James & St John Church of England Primary School,London,London,Westminster,Westminster North,W2 3QD,51.51294,-0.17926
St Joseph's RC Primary School,London,London,Westminster,Westminster North,W9 1DF,51.52741,-0.18223
St Luke's CofE Primary School,London,London,Westminster,Westminster North,W9 3EJ,51.53155,-0.20278
St Mary Magdalene CofE Primary School,London,London,Westminster,Westminster North,W2 5TF,51.52246,-0.18927
St Mary's Bryanston Square CofE School,London,London,Westminster,Cities of London and Westminster,W1H 1DL,51.52042,-0.16302
St. Mary of the Angels Catholic Primary School,London,London,Westminster,Westminster North,W2 5PR,51.51843,-0.1975
"St Matthew's School, Westminster",London,London,Westminster,Cities of London and Westminster,SW1P 2DG,51.4974,-0.13134
St Peter's CofE School,London,London,Westminster,Westminster North,W9 2AN,51.5237,-0.19599
St Peter's Eaton Square CofE Primary School,London,London,Westminster,Cities of London and Westminster,SW1W 0NL,51.49601,-0.14641
St Saviour's CofE Primary School,London,London,Westminster,Westminster North,W9 2JD,51.52415,-0.18824
St Stephen's CofE Primary School,London,London,Westminster,Westminster North,W2 5QH,51.51903,-0.19505
St Vincent's Catholic Primary School,London,London,Westminster,Cities of London and Westminster,W1U 4DF,51.51862,-0.15269
St Vincent de Paul RC Primary School,London,London,Westminster,Cities of London and Westminster,SW1P 1EP,51.49603,-0.14015
Westminster Cathedral RC Primary School,London,London,Westminster,Cities of London and Westminster,SW1V 3SE,51.48805,-0.13194
Christ Church Bentinck CofE Primary School,London,London,Westminster,Westminster North,NW1 5NS,51.52145,-0.16638
St Augustine's CofE High School,London,London,Westminster,Westminster North,NW6 5SN,51.53427,-0.19244
College Park School,London,London,Westminster,Westminster North,W2 4PH,51.51508,-0.1921
Queen Elizabeth II Jubilee School,London,London,Westminster,Westminster North,W9 3LG,51.52539,-0.20228
Dorothy Barley Infants' School,London,London,Barking and Dagenham,Barking,RM8 2LL,51.54636,0.11723
Manor Junior School,London,London,Barking and Dagenham,Barking,IG11 9AG,51.54366,0.10249
Manor Infants' School/Manor Longbridge,London,London,Barking and Dagenham,Barking,IG11 9AG,51.54366,0.10249
Northbury Primary School,London,London,Barking and Dagenham,Barking,IG11 8JA,51.54132,0.0752
Ripple Primary School,London,London,Barking and Dagenham,Barking,IG11 7QS,51.53625,0.08999
Beam Primary School,London,London,Barking and Dagenham,Dagenham and Rainham,RM10 9ED,51.52843,0.16413
Furze Infants' School,London,London,Barking and Dagenham,Dagenham and Rainham,RM6 6ES,51.57142,0.1407
Grafton Primary School,London,London,Barking and Dagenham,Barking,RM8 3EX,51.55838,0.13931
Marks Gate Infants' School,London,London,Barking and Dagenham,Dagenham and Rainham,RM6 5LL,51.58464,0.13703
Marsh Green Primary School,London,London,Barking and Dagenham,Dagenham and Rainham,RM10 9NJ,51.53146,0.15161
Rush Green Primary School,London,London,Barking and Dagenham,Dagenham and Rainham,RM7 0RL,51.56312,0.17671
The Leys Primary School,London,London,Barking and Dagenham,Dagenham and Rainham,RM10 9YR,51.53596,0.16865
Warren Junior School,London,London,Barking and Dagenham,Dagenham and Rainham,RM6 6DA,51.57509,0.14266
Thomas Arnold Primary School,London,London,Barking and Dagenham,Dagenham and Rainham,RM9 6NH,51.53692,0.14502
Valence Primary School,London,London,Barking and Dagenham,Barking,RM8 3AR,51.55822,0.13225
Village Infants' School,London,London,Barking and Dagenham,Dagenham and Rainham,RM10 9JS,51.53854,0.15252
Marks Gate Junior School,London,London,Barking and Dagenham,Dagenham and Rainham,RM6 5NJ,51.58541,0.13587
William Bellamy Primary School,London,London,Barking and Dagenham,Dagenham and Rainham,RM10 7HX,51.55822,0.15454
Parsloes Primary School,London,London,Barking and Dagenham,Barking,RM9 5RH,51.54283,0.14495
Five Elms Primary School,London,London,Barking and Dagenham,Dagenham and Rainham,RM9 5TB,51.55509,0.14536
Henry Green Primary School,London,London,Barking and Dagenham,Barking,RM8 1UR,51.56184,0.12763
Roding Primary School,London,London,Barking and Dagenham,Barking,RM8 2XS,51.54935,0.12684
Becontree Primary School,London,London,Barking and Dagenham,Barking,RM8 2QR,51.55582,0.11797
John Perry Primary School,London,London,Barking and Dagenham,Dagenham and Rainham,RM10 8UR,51.54142,0.17135
William Ford CofE Junior School,London,London,Barking and Dagenham,Dagenham and Rainham,RM10 9JS,51.53854,0.15252
St Joseph's Catholic Primary School,London,London,Barking and Dagenham,Barking,IG11 7AR,51.53439,0.07708
St Joseph's Catholic Primary School,London,London,Barking and Dagenham,Dagenham and Rainham,RM9 5UL,51.55236,0.1439
St Peter's Catholic Primary School,London,London,Barking and Dagenham,Barking,RM9 6UU,51.53189,0.14438
The St Teresa Catholic Primary School,London,London,Barking and Dagenham,Barking,RM8 2XJ,51.55067,0.12423
St Vincent's Catholic Primary School,London,London,Barking and Dagenham,Barking,RM8 2JN,51.5599,0.12264
"Barking Abbey School, A Specialist Sports and Humanities College",London,London,Barking and Dagenham,Barking,IG11 9AG,51.54366,0.10249
Eastbrook School,London,London,Barking and Dagenham,Dagenham and Rainham,RM10 7UR,51.55147,0.16372
Eastbury Community School,London,London,Barking and Dagenham,Barking,IG11 9UW,51.54252,0.09012
Robert Clack School,London,London,Barking and Dagenham,Dagenham and Rainham,RM8 1JU,51.56268,0.15395
All Saints Catholic School and Technology College,London,London,Barking and Dagenham,Dagenham and Rainham,RM8 1JT,51.56282,0.15131
Brookhill Nursery School,London,London,Barnet,Chipping Barnet,EN4 8SD,51.64539,-0.16533
Hampden Way Nursery School,London,London,Barnet,Chipping Barnet,N14 5DJ,51.63092,-0.14194
Moss Hall Nursery School,London,London,Barnet,Finchley and Golders Green,N3 1NR,51.61066,-0.18651
St Margaret's Nursery School,London,London,Barnet,Chipping Barnet,EN4 9NT,51.64939,-0.16746
Pavilion Study Centre,London,London,Barnet,Chipping Barnet,N20 9DX,51.63389,-0.1728
Barnfield Primary School,London,London,Barnet,Hendon,HA8 0DA,51.60103,-0.26466
Bell Lane Primary School,London,London,Barnet,Hendon,NW4 2AS,51.58707,-0.21571
Brookland Junior School,London,London,Barnet,Finchley and Golders Green,NW11 6EJ,51.58993,-0.18805
Brookland Infant and Nursery School,London,London,Barnet,Finchley and Golders Green,NW11 6EJ,51.58993,-0.18805
Brunswick Park Primary and Nursery School,London,London,Barnet,Chipping Barnet,N14 5DU,51.63087,-0.14758
Childs Hill School,London,London,Barnet,Finchley and Golders Green,NW2 1SL,51.56226,-0.20692
Church Hill School,London,London,Barnet,Chipping Barnet,EN4 8NN,51.63527,-0.15926
Colindale Primary School,London,London,Barnet,Hendon,NW9 6DT,51.59018,-0.24651
Coppetts Wood Primary School,London,London,Barnet,Chipping Barnet,N10 1JS,51.60247,-0.15305
Courtland School,London,London,Barnet,Hendon,NW7 3BG,51.62721,-0.2529
Cromer Road Primary School,London,London,Barnet,Chipping Barnet,EN5 5HT,51.65368,-0.17729
Deansbrook Infant School,London,London,Barnet,Hendon,NW7 3ED,51.61264,-0.26203
Dollis Primary School,London,London,Barnet,Hendon,NW7 2BU,51.60868,-0.22431
Edgware Primary School,London,London,Barnet,Hendon,HA8 9AB,51.60915,-0.27381
Fairway Primary School and Children's Centre,London,London,Barnet,Hendon,NW7 3HS,51.62739,-0.25642
Foulds School,London,London,Barnet,Chipping Barnet,EN5 4NR,51.65676,-0.21171
Frith Manor Primary School,London,London,Barnet,Hendon,N12 7BN,51.6146,-0.203
Garden Suburb Junior School,London,London,Barnet,Finchley and Golders Green,NW11 6XU,51.58551,-0.19852
Garden Suburb Infant School,London,London,Barnet,Finchley and Golders Green,NW11 6XU,51.58551,-0.19852
Goldbeaters Primary School,London,London,Barnet,Hendon,HA8 0HA,51.60406,-0.2573
Hollickwood Primary School,London,London,Barnet,Chipping Barnet,N10 2NL,51.60457,-0.14386
Holly Park Primary School,London,London,Barnet,Chipping Barnet,N11 3HG,51.61691,-0.15126
Livingstone Primary and Nursery School,London,London,Barnet,Chipping Barnet,EN4 9BU,51.65462,-0.16711
Manorside Primary School,London,London,Barnet,Finchley and Golders Green,N3 2AB,51.60089,-0.1805
Monkfrith Primary School,London,London,Barnet,Chipping Barnet,N14 5NG,51.63676,-0.14633
Moss Hall Junior School,London,London,Barnet,Finchley and Golders Green,N3 1NR,51.61066,-0.18651
Moss Hall Infant School,London,London,Barnet,Finchley and Golders Green,N12 8PE,51.60982,-0.18386
Northside Primary School,London,London,Barnet,Finchley and Golders Green,N12 8JP,51.61598,-0.17954
Woodridge Primary School,London,London,Barnet,Chipping Barnet,N12 7HE,51.62392,-0.1937
Tudor Primary School,London,London,Barnet,Finchley and Golders Green,N3 2AG,51.6006,-0.17839
Underhill School,London,London,Barnet,Chipping Barnet,EN5 2LZ,51.645,-0.20722
Whitings Hill Primary School,London,London,Barnet,Chipping Barnet,EN5 2QY,51.64617,-0.21699
Chalgrove Primary School,London,London,Barnet,Finchley and Golders Green,N3 3PL,51.59252,-0.20577
Sunnyfields Primary School,London,London,Barnet,Hendon,NW4 4JH,51.59153,-0.23231
Queenswell Infant & Nursery School,London,London,Barnet,Chipping Barnet,N20 0NQ,51.62742,-0.17018
Queenswell Junior School,London,London,Barnet,Chipping Barnet,N20 0NQ,51.62742,-0.17018
Danegrove Primary School,London,London,Barnet,Chipping Barnet,EN4 8UD,51.64361,-0.15761
All Saints' CofE Primary School NW2,London,London,Barnet,Finchley and Golders Green,NW2 2TH,51.56213,-0.19995
Christ Church Primary School,London,London,Barnet,Chipping Barnet,EN5 4NS,51.65767,-0.2133
Holy Trinity CofE Primary School,London,London,Barnet,Finchley and Golders Green,N2 8GA,51.59144,-0.16924
Monken Hadley CofE Primary School,London,London,Barnet,Chipping Barnet,EN4 0NJ,51.66346,-0.18779
St John's CofE Junior Mixed and Infant School,London,London,Barnet,Chipping Barnet,N11 3LB,51.61657,-0.15382
St John's CofE Primary School,London,London,Barnet,Chipping Barnet,N20 0PL,51.62655,-0.17833
St Mary's CofE Primary School,London,London,Barnet,Finchley and Golders Green,N3 1BT,51.6036,-0.20022
"St Mary's CofE Primary School, East Barnet",London,London,Barnet,Chipping Barnet,EN4 8SR,51.64097,-0.16144
