School name,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Latitude,Longitude
St Winefride's RC Primary School,London,London,Newham,East Ham,E12 6HB,51.54856,0.05789
Little Ilford School,London,London,Newham,East Ham,E12 6JB,51.54726,0.06127
Rokeby School,London,London,Newham,West Ham,E16 4DD,51.51873,0.01552
Lister Community School,London,London,Newham,West Ham,E13 9AE,51.53143,0.02467
Plashet School,London,London,Newham,East Ham,E6 1DG,51.53972,0.04975
Eastlea Community School,London,London,Newham,West Ham,E16 4NP,51.52383,0.01025
St Angela's Ursuline School,London,London,Newham,West Ham,E7 8HU,51.5421,0.0296
St Bonaventure's RC School,London,London,Newham,West Ham,E7 9QD,51.53863,0.02544
The Constance Bridgeman Centre,London,London,Redbridge,Ilford South,RM6 4XT,51.57995,0.1191
Manford Primary School,London,London,Redbridge,Ilford North,IG7 4BX,51.6087,0.10242
Cleveland Road Primary School,London,London,Redbridge,Ilford South,IG1 1EW,51.55447,0.07532
Downshall Primary School,London,London,Redbridge,Ilford South,IG3 8UG,51.57058,0.09632
Fairlop Primary School,London,London,Redbridge,Ilford North,IG6 2LH,51.59981,0.08051
Gilbert Colvin Primary School,London,London,Redbridge,Ilford North,IG5 0TL,51.59515,0.0689
Glade Primary School,London,London,Redbridge,Ilford North,IG5 0PF,51.5939,0.05542
Goodmayes Primary School,London,London,Redbridge,Ilford South,IG3 9RW,51.56348,0.11515
Gordon Primary School,London,London,Redbridge,Ilford South,IG1 1SU,51.55597,0.08745
Mossford Green Primary School,London,London,Redbridge,Ilford North,IG6 2EW,51.59135,0.07918
Newbury Park Primary School,London,London,Redbridge,Ilford North,IG2 7LB,51.57579,0.08423
Uphall Primary School,London,London,Redbridge,Ilford South,IG1 2JD,51.54797,0.07213
William Torbitt Primary School,London,London,Redbridge,Ilford North,IG2 7SS,51.57851,0.09899
Aldersbrook Primary School,London,London,Redbridge,Leyton and Wanstead,E12 5HL,51.56439,0.03697
Roding Primary School,London,London,Redbridge,Ilford North,IG8 8NP,51.60391,0.05516
Wells Primary School,London,London,Redbridge,Chingford and Woodford Green,IG8 0PP,51.61609,0.02698
Snaresbrook Primary School,London,London,Redbridge,Leyton and Wanstead,E18 2EN,51.58605,0.0229
Fullwood Primary School,London,London,Redbridge,Ilford North,IG6 1ER,51.58446,0.07823
Woodlands Primary School,London,London,Redbridge,Ilford South,IG1 2PY,51.54917,0.08389
Grove Primary School,London,London,Redbridge,Ilford South,RM6 4XS,51.57871,0.12052
Chadwell Primary School,London,London,Redbridge,Ilford South,RM6 4EU,51.56873,0.12106
Coppice Primary School,London,London,Redbridge,Ilford North,IG7 4AL,51.61229,0.11425
John Bramston Primary School,London,London,Redbridge,Ilford North,IG6 3EE,51.60558,0.10945
Nightingale Primary School,London,London,Redbridge,Ilford North,E18 1PL,51.58518,0.03297
Barley Lane Primary School,London,London,Redbridge,Ilford South,RM6 4RJ,51.56969,0.11395
Wanstead Church School,London,London,Redbridge,Leyton and Wanstead,E11 2SS,51.57856,0.02353
St Augustine's Catholic Primary School,London,London,Redbridge,Ilford North,IG2 6RG,51.58044,0.0738
Our Lady of Lourdes RC Primary School,London,London,Redbridge,Leyton and Wanstead,E11 2TA,51.57465,0.02052
St Antony's Catholic Primary School,London,London,Redbridge,Chingford and Woodford Green,IG8 0TX,51.61612,0.02413
St Bede's Catholic Primary School,London,London,Redbridge,Ilford South,RM6 5RR,51.57686,0.1268
Wohl Ilford Jewish Primary School,London,London,Redbridge,Ilford North,IG6 3HB,51.59398,0.08762
SS Peter and Paul's Catholic Primary School,London,London,Redbridge,Ilford South,IG1 1SA,51.55813,0.08716
Caterham High School,London,London,Redbridge,Ilford North,IG5 0QW,51.59338,0.06199
Ilford County High School,London,London,Redbridge,Ilford North,IG6 2JB,51.5919,0.07698
Wanstead High School,London,London,Redbridge,Leyton and Wanstead,E11 2JZ,51.57565,0.03573
Woodford County High School,London,London,Redbridge,Chingford and Woodford Green,IG8 9LA,51.60761,0.01873
Woodbridge High School,London,London,Redbridge,Ilford North,IG8 7DQ,51.60096,0.0332
Seven Kings School,London,London,Redbridge,Ilford South,IG2 7BT,51.56851,0.08589
Valentines High School,London,London,Redbridge,Ilford South,IG2 6HX,51.57426,0.06677
Mayfield School ,London,London,Redbridge,Ilford South,RM8 1XE,51.56472,0.12255
Trinity Catholic High School,London,London,Redbridge,Chingford and Woodford Green,IG8 0TP,51.61666,0.02107
Kantor King Solomon High School,London,London,Redbridge,Ilford North,IG6 3HB,51.59398,0.08762
Little Heath School,London,London,Redbridge,Ilford North,RM6 5RX,51.58415,0.11856
The New Rush Hall School,London,London,Redbridge,Ilford North,IG6 2LB,51.60064,0.0847
Hatton School and Special Needs Centre,London,London,Redbridge,Ilford North,IG8 8EU,51.5891,0.04511
Windham Nursery School,London,London,Richmond upon Thames,Richmond Park,TW9 2HP,51.46895,-0.28969
Carlisle Infant School,London,London,Richmond upon Thames,Twickenham,TW12 3AJ,51.42305,-0.36338
Darell Primary and Nursery School,London,London,Richmond upon Thames,Richmond Park,TW9 4LH,51.46854,-0.28394
East Sheen Primary School,London,London,Richmond upon Thames,Richmond Park,SW14 8ED,51.46495,-0.25441
Hampton Hill Junior School,London,London,Richmond upon Thames,Twickenham,TW12 1HW,51.42776,-0.36075
Hampton Junior School,London,London,Richmond upon Thames,Twickenham,TW12 2LA,51.41709,-0.37319
Hampton Infant School and Nursery,London,London,Richmond upon Thames,Twickenham,TW12 2JH,51.41942,-0.37531
Hampton Wick Infant and Nursery School,London,London,Richmond upon Thames,Twickenham,TW11 9RP,51.41831,-0.31117
Heathfield Junior School,London,London,Richmond upon Thames,Twickenham,TW2 6EN,51.44739,-0.36866
Heathfield Infant School,London,London,Richmond upon Thames,Twickenham,TW2 6EN,51.44739,-0.36866
Lowther Primary School,London,London,Richmond upon Thames,Richmond Park,SW13 9AE,51.48346,-0.23972
Meadlands Primary School,London,London,Richmond upon Thames,Richmond Park,TW10 7TS,51.43326,-0.31496
Orleans Primary School,London,London,Richmond upon Thames,Twickenham,TW1 3EN,51.453,-0.32036
The Russell Primary School,London,London,Richmond upon Thames,Richmond Park,TW10 7AH,51.44506,-0.30366
Sheen Mount Primary School,London,London,Richmond upon Thames,Richmond Park,SW14 7RT,51.46109,-0.27561
Stanley  Primary School,London,London,Richmond upon Thames,Twickenham,TW11 8UH,51.43371,-0.34457
Trafalgar Junior School,London,London,Richmond upon Thames,Twickenham,TW2 5EG,51.44252,-0.34853
Trafalgar Infant School,London,London,Richmond upon Thames,Twickenham,TW2 5EH,51.44233,-0.34919
Barnes Primary School,London,London,Richmond upon Thames,Richmond Park,SW13 0QQ,51.46944,-0.2502
Collis Primary School,London,London,Richmond upon Thames,Twickenham,TW11 9BS,51.42217,-0.32675
Buckingham Primary School,London,London,Richmond upon Thames,Twickenham,TW12 3LT,51.42788,-0.37738
Chase Bridge Primary School,London,London,Richmond upon Thames,Twickenham,TW2 7DE,51.45393,-0.34547
The Vineyard School,London,London,Richmond upon Thames,Richmond Park,TW10 6NE,51.45429,-0.29848
St Richard's Church of England Primary School,London,London,Richmond upon Thames,Richmond Park,TW10 7NL,51.43695,-0.31974
Holy Trinity Church of England Primary School,London,London,Richmond upon Thames,Richmond Park,TW10 5AA,51.4634,-0.28582
St Mary Magdalen's Catholic Primary School,London,London,Richmond upon Thames,Richmond Park,SW14 8HE,51.46859,-0.26122
St Elizabeth's Catholic Primary School,London,London,Richmond upon Thames,Richmond Park,TW10 6HN,51.45665,-0.2902
St John the Baptist Church of England Junior School,London,London,Richmond upon Thames,Twickenham,KT1 4HQ,51.4159,-0.31
St Edmund's Catholic Primary School,London,London,Richmond upon Thames,Twickenham,TW2 7BB,51.45275,-0.36036
St James's Roman Catholic Primary School,London,London,Richmond upon Thames,Twickenham,TW2 5NP,51.43706,-0.34759
St Mary's Church of England Primary School,London,London,Richmond upon Thames,Twickenham,TW1 3HE,51.44959,-0.32733
St Stephen's C E Primary School,London,London,Richmond upon Thames,Twickenham,TW1 1LF,51.45607,-0.32299
Sacred Heart Roman Catholic Primary School,London,London,Richmond upon Thames,Twickenham,TW11 9DD,51.4211,-0.32091
St Mary's and St Peter's Church of England Primary School,London,London,Richmond upon Thames,Twickenham,TW11 8RX,51.42954,-0.33984
Bishop Perrin Church of England Primary School,London,London,Richmond upon Thames,Twickenham,TW2 6LF,51.44856,-0.36612
St Osmund's Catholic Primary School,London,London,Richmond upon Thames,Richmond Park,SW13 9HQ,51.47427,-0.24532
Archdeacon Cambridge's Church of England Primary School,London,London,Richmond upon Thames,Twickenham,TW2 5TU,51.44382,-0.34063
The Queen's Church of England Primary School,London,London,Richmond upon Thames,Richmond Park,TW9 3HJ,51.4802,-0.28603
Christ's Church of England Comprehensive Secondary School,London,London,Richmond upon Thames,Richmond Park,TW10 6HW,51.45875,-0.28817
Spencer Nursery School,London,London,Sutton,Carshalton and Wallington,CR4 4JP,51.3833,-0.16129
Thomas Wall Nursery School,London,London,Sutton,Sutton and Cheam,SM1 2SF,51.36318,-0.20049
The Limes College,London,London,Sutton,Sutton and Cheam,SM1 2SD,51.36436,-0.19939
Bandon Hill Primary School,London,London,Sutton,Carshalton and Wallington,SM6 9QU,51.35735,-0.13866
Hackbridge Primary School,London,London,Sutton,Carshalton and Wallington,SM6 7AX,51.37835,-0.15761
High View Primary School,London,London,Sutton,Carshalton and Wallington,SM6 8JT,51.36246,-0.12966
Devonshire Primary School,London,London,Sutton,Sutton and Cheam,SM2 5JL,51.35365,-0.1885
Robin Hood Infants' School,London,London,Sutton,Sutton and Cheam,SM1 2SF,51.36318,-0.20049
Dorchester Primary School,London,London,Sutton,Sutton and Cheam,KT4 8PG,51.38038,-0.23157
Beddington Infants' School,London,London,Sutton,Carshalton and Wallington,SM6 7LF,51.36913,-0.14566
Robin Hood Junior School,London,London,Sutton,Sutton and Cheam,SM1 1RL,51.36538,-0.1968
Nonsuch Primary School,London,London,Sutton,Epsom and Ewell,KT17 2HQ,51.36546,-0.23627
Foresters Primary School,London,London,Sutton,Carshalton and Wallington,SM6 9DP,51.3571,-0.1343
All Saints Benhilton CofE Primary School,London,London,Sutton,Sutton and Cheam,SM1 3DA,51.37322,-0.19237
Holy Trinity CofE Junior School,London,London,Sutton,Carshalton and Wallington,SM6 8BZ,51.36778,-0.14676
St Dunstan's Cheam CofE Primary School,London,London,Sutton,Sutton and Cheam,SM3 8DF,51.3554,-0.21987
St Cecilia's Catholic Primary School,London,London,Sutton,Sutton and Cheam,SM3 9DL,51.37689,-0.22216
St Mary's RC Junior School,London,London,Sutton,Carshalton and Wallington,SM5 2PB,51.3636,-0.17085
St Mary's RC Infants School,London,London,Sutton,Carshalton and Wallington,SM5 2PT,51.36645,-0.16736
St Elphege's RC Junior School,London,London,Sutton,Carshalton and Wallington,SM6 9HY,51.35613,-0.12792
St Elphege's RC Infants' School,London,London,Sutton,Carshalton and Wallington,SM6 9HY,51.35613,-0.12792
Stanley Park Junior School,London,London,Sutton,Carshalton and Wallington,SM5 3JL,51.35486,-0.16396
The John Fisher School,London,London,Sutton,Carshalton and Wallington,CR8 3YP,51.34509,-0.13383
St Philomena's Catholic High School for Girls,London,London,Sutton,Carshalton and Wallington,SM5 3PS,51.36427,-0.16974
Sherwood Park School,London,London,Sutton,Carshalton and Wallington,SM6 7NP,51.37052,-0.13683
Low Hall Nursery School,London,London,Waltham Forest,Walthamstow,E17 8BE,51.57773,-0.03057
Church Hill Nursery School,London,London,Waltham Forest,Walthamstow,E17 9SB,51.58474,-0.01475
Acacia Nursery,London,London,Waltham Forest,Leyton and Wanstead,E11 3HF,51.55965,0.01053
Chase Lane Primary School,London,London,Waltham Forest,Chingford and Woodford Green,E4 8LA,51.61468,-0.02267
Whitehall Primary School,London,London,Waltham Forest,Chingford and Woodford Green,E4 6ES,51.62523,0.01136
Downsell Primary School,London,London,Waltham Forest,Leyton and Wanstead,E15 2BS,51.55362,0.00057
Newport School,London,London,Waltham Forest,Leyton and Wanstead,E10 6PJ,51.56421,-0.00275
Chapel End Infant School and Early Years Centre,London,London,Waltham Forest,Walthamstow,E17 4LN,51.59936,-0.01371
Edinburgh Primary School,London,London,Waltham Forest,Walthamstow,E17 8QR,51.5787,-0.02297
Greenleaf Primary School,London,London,Waltham Forest,Walthamstow,E17 6QW,51.58885,-0.02515
Handsworth Primary School,London,London,Waltham Forest,Chingford and Woodford Green,E4 9PJ,51.60854,0.00346
Thorpe Hall Primary School,London,London,Waltham Forest,Chingford and Woodford Green,E17 4DP,51.59804,-0.00086
The Winns Primary School,London,London,Waltham Forest,Walthamstow,E17 5ET,51.59507,-0.02474
Oakhill Primary School,London,London,Waltham Forest,Chingford and Woodford Green,IG8 9PY,51.60649,0.00828
Henry Maynard Primary School,London,London,Waltham Forest,Walthamstow,E17 9JE,51.58148,-0.00646
South Grove Primary School,London,London,Waltham Forest,Walthamstow,E17 8PW,51.57806,-0.02779
Dawlish Primary School,London,London,Waltham Forest,Leyton and Wanstead,E10 6NN,51.56588,-0.00935
Gwyn Jones Primary School,London,London,Waltham Forest,Leyton and Wanstead,E11 1EU,51.57308,0.00316
George Tomlinson Primary School,London,London,Waltham Forest,Leyton and Wanstead,E11 4QN,51.56711,0.00855
Mission Grove Primary School,London,London,Waltham Forest,Walthamstow,E17 7EJ,51.58383,-0.03187
Coppermill Primary School,London,London,Waltham Forest,Walthamstow,E17 6PB,51.58254,-0.04016
Stoneydown Park School,London,London,Waltham Forest,Walthamstow,E17 6JY,51.58579,-0.03549
Buxton School,London,London,Waltham Forest,Leyton and Wanstead,E11 3NN,51.55745,0.01652
Parkside Primary School,London,London,Waltham Forest,Chingford and Woodford Green,E4 6RE,51.62404,-0.01428
The Jenny Hammond Primary School,London,London,Waltham Forest,Leyton and Wanstead,E11 3JH,51.55573,0.00798
Chingford CofE Primary School,London,London,Waltham Forest,Chingford and Woodford Green,E4 7EY,51.62866,0.00215
St Mary's Catholic Primary School,London,London,Waltham Forest,Chingford and Woodford Green,E4 7BJ,51.63116,0.00361
St Joseph's Catholic Junior School,London,London,Waltham Forest,Leyton and Wanstead,E10 5DX,51.56892,-0.01641
St Patrick's Catholic Primary School,London,London,Waltham Forest,Walthamstow,E17 7DP,51.5849,-0.03614
St Joseph's Catholic Infant School,London,London,Waltham Forest,Leyton and Wanstead,E10 7BL,51.56464,-0.02391
Frederick Bremer School,London,London,Waltham Forest,Walthamstow,E17 4EY,51.59451,-0.00396
Heathcote School & Science College,London,London,Waltham Forest,Chingford and Woodford Green,E4 6ES,51.62523,0.01136
Willowfield School,London,London,Waltham Forest,Walthamstow,E17 6ND,51.58565,-0.03937
Leytonstone School,London,London,Waltham Forest,Leyton and Wanstead,E11 1JD,51.57443,0.00756
Walthamstow School for Girls,London,London,Waltham Forest,Walthamstow,E17 9RZ,51.5852,-0.01375
Kelmscott School,London,London,Waltham Forest,Walthamstow,E17 8DN,51.57557,-0.02837
Holy Family Catholic School,London,London,Waltham Forest,Walthamstow,E17 3EA,51.58966,-0.00738
St Mary's and St John's CofE School,London,London,Barnet,Hendon,NW4 4QR,51.59273,-0.22616
St Paul's Academy,London,London,Greenwich,Erith and Thamesmead,SE2 9PX,51.49251,0.10541
Wandsworth Hospital and Home Tuition Service,London,London,Wandsworth,Tooting,SW17 7DJ,51.43735,-0.17234
Springfield Community Primary School,London,London,Hackney,Hackney North and Stoke Newington,N16 6DH,51.57516,-0.06434
Redbridge Primary School,London,London,Redbridge,Ilford North,IG4 5HW,51.58062,0.05129
Wembley Primary School,London,London,Brent,Brent North,HA9 7NW,51.56168,-0.2949
Rushmore Primary School,London,London,Hackney,Hackney North and Stoke Newington,E5 0LE,51.5553,-0.04688
Gayhurst Community School,London,London,Hackney,Hackney South and Shoreditch,E8 3EN,51.54236,-0.0626
Monteagle Primary School,London,London,Barking and Dagenham,Barking,RM9 4RB,51.53494,0.11443
Christopher Hatton Primary School,London,London,Camden,Holborn and St Pancras,EC1R 4PQ,51.52274,-0.11269
Ainslie Wood Primary School,London,London,Waltham Forest,Chingford and Woodford Green,E4 9DD,51.61236,-0.01167
Arnhem Wharf Primary School,London,London,Tower Hamlets,Poplar and Limehouse,E14 3RP,51.49531,-0.02655
Richard Alibon Primary School with ARP for Cognitive and Learning Difficulties : SEN Base,London,London,Barking and Dagenham,Barking,RM10 8DF,51.54751,0.15084
Alexandra Primary School,London,London,Haringey,Hornsey and Wood Green,N22 6UH,51.59537,-0.11604
Sandringham Primary School,London,London,Newham,East Ham,E7 8ED,51.54677,0.03464
Abbey Manor College,London,London,Lewisham,Eltham,SE12 8JP,51.45484,0.02454
Paddington Academy,London,London,Westminster,Westminster North,W9 2DR,51.52535,-0.19214
Ridgeway Primary School,London,London,Croydon,Croydon South,CR2 0EQ,51.34506,-0.08378
Bessemer Grange Primary School,London,London,Southwark,Camberwell and Peckham,SE5 8HP,51.45874,-0.0868
Godwin Primary School,London,London,Barking and Dagenham,Barking,RM9 6JH,51.53789,0.13957
Middle Park Primary School,London,London,Greenwich,Eltham,SE9 5RX,51.4443,0.03791
William Patten Primary School,London,London,Hackney,Hackney North and Stoke Newington,N16 0NX,51.5618,-0.07495
Muschamp Primary School and Language Opportunity Base,London,London,Sutton,Carshalton and Wallington,SM5 2SE,51.37611,-0.174
Russet House School,London,London,Enfield,Enfield North,EN1 4JA,51.66243,-0.0565
